ID,Year,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Winner,Loser
673,2012,18-Aug-12,Newcastle,Tottenham,2,1,H,0,0,D,M Atkinson,6,12,4,6,12,8,3,5,2,2,0,0,Newcastle,Tottenham
674,2012,18-Aug-12,West Brom,Liverpool,3,0,H,1,0,H,P Dowd,15,14,10,7,10,11,7,3,1,4,0,1,West Brom,Liverpool
675,2012,19-Aug-12,Man City,Southampton,3,2,H,1,0,H,H Webb,20,9,15,6,4,6,7,3,1,2,0,0,Man City,Southampton
676,2012,20-Aug-12,Everton,Man United,1,0,H,0,0,D,A Marriner,16,12,7,7,12,11,6,8,1,2,0,0,Everton,Man United
677,2012,25-Aug-12,Chelsea,Newcastle,2,0,H,2,0,H,P Dowd,11,11,6,5,8,10,2,3,1,0,0,0,Chelsea,Newcastle
678,2012,25-Aug-12,Swansea,West Ham,3,0,H,2,0,H,M Atkinson,10,7,7,6,13,17,5,4,2,4,0,0,Swansea,West Ham
679,2012,25-Aug-12,Tottenham,West Brom,1,1,D,0,0,D,M Dean,18,10,10,5,8,7,7,5,1,2,0,0,None,None
680,2012,26-Aug-12,Liverpool,Man City,2,2,D,1,0,H,A Marriner,15,11,8,5,10,7,4,4,1,0,0,0,None,None
681,2012,26-Aug-12,Stoke,Arsenal,0,0,D,0,0,D,L Mason,7,16,4,6,9,9,0,11,2,0,0,0,None,None
682,2012,1-Sep-12,West Brom,Everton,2,0,H,0,0,D,J Moss,14,12,8,5,11,15,6,3,1,4,0,0,West Brom,Everton
683,2012,2-Sep-12,Liverpool,Arsenal,0,2,A,0,1,A,H Webb,17,11,8,7,12,7,10,2,2,2,0,0,Arsenal,Liverpool
684,2012,2-Sep-12,Southampton,Man United,2,3,A,1,1,D,M Dean,15,18,8,9,9,4,4,7,1,0,0,0,Man United,Southampton
685,2012,15-Sep-12,Arsenal,Southampton,6,1,H,4,1,H,K Friend,20,9,12,4,4,7,8,3,0,0,0,0,Arsenal,Southampton
686,2012,15-Sep-12,Stoke,Man City,1,1,D,1,1,D,M Clattenburg,4,15,3,11,12,12,6,5,0,1,0,0,None,None
687,2012,17-Sep-12,Everton,Newcastle,2,2,D,1,0,H,M Jones,17,11,10,7,16,12,3,3,3,3,0,0,None,None
688,2012,22-Sep-12,Chelsea,Stoke,1,0,H,0,0,D,M Oliver,17,13,9,6,12,15,13,3,2,1,0,0,Chelsea,Stoke
689,2012,22-Sep-12,Swansea,Everton,0,3,A,0,2,A,A Taylor,18,30,11,19,23,7,8,3,4,1,1,0,Everton,Swansea
690,2012,23-Sep-12,Liverpool,Man United,1,2,A,0,0,D,M Halsey,13,8,8,4,14,7,7,3,1,2,1,0,Man United,Liverpool
691,2012,23-Sep-12,Man City,Arsenal,1,1,D,1,0,H,M Dean,14,10,10,4,11,7,9,4,1,0,0,0,None,None
692,2012,29-Sep-12,Arsenal,Chelsea,1,2,A,1,1,D,M Atkinson,14,10,5,5,14,13,6,5,2,3,0,0,Chelsea,Arsenal
693,2012,29-Sep-12,Everton,Southampton,3,1,H,3,1,H,L Probert,17,8,9,2,2,3,10,3,0,0,0,0,Everton,Southampton
694,2012,29-Sep-12,Man United,Tottenham,2,3,A,0,2,A,C Foy,15,10,8,6,5,7,9,5,0,0,0,0,Tottenham,Man United
695,2012,29-Sep-12,Stoke,Swansea,2,0,H,2,0,H,J Moss,10,8,5,0,10,8,6,8,1,1,0,0,Stoke,Swansea
696,2012,6-Oct-12,West Ham,Arsenal,1,3,A,1,1,D,P Dowd,7,20,3,14,12,7,4,16,3,2,0,0,Arsenal,West Ham
697,2012,7-Oct-12,Liverpool,Stoke,0,0,D,0,0,D,L Mason,16,5,5,3,9,16,5,5,0,6,0,0,None,None
